,"Кол-во запросов, шт.",янв.-21,февр.-21,мар.-21,апр.-21,мая-21,июн.-21,июл.-21,авг.-21,сент.-21,окт.-21,нояб.-21,дек.-21,янв.-22,февр.-22,мар.-22,апр.-22,мая-22,июн.-22,июл.-22,авг.-22,сент.-22,окт.-22,нояб.-22,дек.-22,янв.-23,февр.-23,мар.-23,апр.-23,мая-23,июн.-23,июл.-23,авг.-23,сент.-23,окт.-23,нояб.-23,дек.-23,янв.-24,февр.-24,мар.-24,апр.-24,мая-24,июн.-24,июл.-24,авг.-24,сент.-24,окт.-24,нояб.-24,дек.-24,янв.-25,февр.-25,мар.-25,апр.-25,мая-25,июн.-25,июл.-25,авг.-25,сент.-25,окт.-25,нояб.-25,дек.-25,янв.-26,февр.-26,мар.-26,апр.-26,,2021,2022,2023,2024,2025
,Дебетовые карты (оверолл),432 027,452 029,511 762,495 272,437 142,523 280,504 062,530 335,541 500,652 173,610 974,625 091,  565 308 ,  601 394 ,  748 960 ,  608 305 ,  534 276 ,  589 381 ,  518 885 ,  587 972 ,  505 561 ,  554 063 ,  545 602 ,  507 290 ,  450 903 ,  469 473 ,  560 022 ,  525 025 ,  462 270 ,  448 972 ,  467 989 ,  517 849 ,  516 138 ,  581 738 ,  578 898 ,  545 109 ,506 449,601 726,580 744,528 825,536 851,508 322,509 807,531 023,501 145,1 062 073,697 573,671 631,626 098,667 502,689 308,618 187,559 497,564 035,579 063,579 004,585 959,660 167,639 158,611 352,490 162,471 285,555 453,598 808,,6 315 647,  6 866 997 ,  6 124 386 ,7 236 169,7 379 330
,Дебетовые карты ОТП,1 297,1 242,1 486,1 289,1 151,1 108,963,1 422,1 224,1 500,1 338,2 319,2 981,2 830,1 933,1 490,1 311,1 281,1 651,1 912,1 467,1 887,1 993,1 605,1 814,1 964,2 618,2 474,2 334,1 977,2 607,2 417,2 029,1 673,1 630,1 794,1 802,2 126,2 710,2 988,2 908,3 155,3 709,4 271,6 977,14 939,16 390,11 645,11 509,13 260,11 227,9 695,7 614,6 612,6 979,7 520,8 977,11 250,8 919,8 277,7 899,8 440,10 217,9 309,,16 339,  22 341 ,  25 331 ,73 620,111 839
,"Доля, %","0,300%","0,275%","0,290%","0,260%","0,263%","0,212%","0,191%","0,268%","0,226%","0,230%","0,219%","0,371%","0,527%","0,471%","0,258%","0,245%","0,245%","0,217%","0,318%","0,325%","0,290%","0,341%","0,365%","0,316%","0,402%","0,418%","0,467%","0,471%","0,505%","0,440%","0,557%","0,467%","0,393%","0,288%","0,282%","0,329%","0,356%","0,353%","0,467%","0,565%","0,542%","0,621%","0,728%","0,804%","1,392%","1,407%","2,350%","1,734%","1,838%","1,987%","1,629%","1,568%","1,361%","1,172%","1,205%","1,299%","1,532%","1,704%","1,395%","1,354%","1,612%","1,791%","1,839%","1,555%",,"0,259%","0,325%","0,414%","1,017%","1,516%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Кредитные карты (оверолл),1 696 002,1 529 865,1 826 734,1 706 907,1 696 561,1 820 483,1 936 334,1 880 694,1 826 340,2 151 349,2 102 332,2 138 342,1 711 103,1 882 471,2 169 357,2 284 935,2 194 152,2 221 020,2 047 707,2 094 966,1 660 176,1 536 717,1 675 250,1 567 598,1 287 305,1 376 837,1 567 222,1 365 920,1 318 186,1 250 585,1 270 876,1 443 932,1 280 679,1 382 495,1 462 774,1 436 155,1 408 458,1 434 341,1 444 728,1 360 730,1 432 835,1 302 946,1 341 287,1 328 530,1 189 773,1 366 685,1 470 183,1 493 086,1 349 100,1 378 791,1 500 522,1 352 051,1 312 459,1 287 938,1 410 591,1 317 230,1 204 056,1 400 358,1 304 738,1 184 727,1 086 257,954 704,1 185 439,1 227 649,,22 311 943,  23 045 452 ,  16 442 966 ,16 573 582,16 002 561
,Кредитные карты ОТП,11 747,11 485,14 194,12 853,12 262,13 806,14 268,15 652,12 875,13 914,16 236,18 128,16 139,16 146,14 254,11 889,11 025,10 803,11 661,10 836,7 380,6 058,6 485,6 092,5 351,5 519,6 147,5 372,4 820,4 803,5 234,5 692,5 213,5 393,6 150,6 221,5 679,5 995,6 261,6 794,6 623,6 657,7 741,7 259,7 296,9 357,9 165,9 259,8 916,10 556,10 467,9 592,9 021,8 061,9 172,8 951,7 248,8 815,8 761,8 993,8 194,8 045,9 709,9 150,,167 420,  128 768 ,  65 915 ,88 086,108 553
,"Доля, %","0,693%","0,751%","0,777%","0,753%","0,723%","0,758%","0,737%","0,832%","0,705%","0,647%","0,772%","0,848%","0,943%","0,858%","0,657%","0,520%","0,502%","0,486%","0,569%","0,517%","0,445%","0,394%","0,387%","0,389%","0,416%","0,401%","0,392%","0,393%","0,366%","0,384%","0,412%","0,394%","0,407%","0,390%","0,420%","0,433%","0,403%","0,418%","0,433%","0,499%","0,462%","0,511%","0,577%","0,546%","0,613%","0,685%","0,623%","0,620%","0,661%","0,766%","0,698%","0,709%","0,687%","0,626%","0,650%","0,680%","0,602%","0,629%","0,671%","0,759%","0,754%","0,843%","0,819%","0,745%",,"0,750%","0,559%","0,401%","0,531%","0,678%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Расчетный счет,585 095,617 472,738 954,730 228,625 726,627 120,537 535,492 832,536 504,604 623,611 542,662 835,523 430,608 782,699 026,624 613,538 148,551 329,420 676,419 336,442 140,492 354,506 368,506 508,406 294,462 757,558 684,463 669,467 504,498 503,369 712,373 578,463 669,616 805,577 013,561 555,424 096,510 434,521 443,496 899,503 070,462 093,467 877,464 379,469 294,700 632,648 301,674 982,621 630,770 070,855 642,627 417,561 418,536 109,533 936,440 804,808 735,638 465,553 010,619 741,426 168,459 229,539 188,544 465,,7 370 466,  6 332 710 ,  5 819 743 ,6 343 500,7 566 977
,Расчетный счет ОТП,841,1 029,1 228,1 180,1 122,794,706,657,584,462,456,525,390,411,510,493,306,284,258,231,255,198,284,262,178,217,485,316,359,426,303,348,339,396,365,308,282,302,450,349,394,320,432,424,398,536,675,755,664,672,643,529,666,467,451,485,534,495,432,553,415,432,478,447,,9 584,  3 882 ,  4 040 ,5 317,6 591
